CEB3,YCK,Colville Lake Airport,Colville Lake,Northwest Territories,CA,850.0,67.0333023071,-126.0830001831,America/Yellowknife,
CEM3,YLE,Whati Airport,Whati,Northwest Territories,CA,882.0,63.1316986084,-117.2460021973,America/Edmonton,
CER4,NML,Fort McMurray / Mildred Lake Airport,Fort McMurray,Alberta,CA,1046.0,57.0555992126,-111.573997498,America/Edmonton,
CFF4,DAS,Great Bear Lake Airport,Great Bear Lake,Northwest Territories,CA,562.0,66.7031021118,-119.707000732,America/Yellowknife,
CFG6,YFI,Fort Mackay / Firebag,Suncor Energy Site,Alberta,CA,1762.0,57.2758333344,-110.976666667,America/Edmonton,
CJV7,SUR,Summer Beaver Airport,Summer Beaver,Ontario,CA,832.0,52.7085990906,-88.5419006348,America/Toronto,
CKB6,YAX,Wapekeka Airport,Angling Lake,Ontario,CA,712.0,53.8492012024,-89.5793991089,America/Winnipeg,
CKL3,WNN,Wunnumin Lake Airport,Wunnumin Lake,Ontario,CA,819.0,52.893901825,-89.2891998291,America/Winnipeg,
CKQ3,YNO,North Spirit Lake Airport,North Spirit Lake,Ontario,CA,1082.0,52.4900016785,-92.9710998535,America/Winnipeg,
CNE3,XBE,Bearskin Lake Airport,Bearskin Lake,Ontario,CA,800.0,53.9655990601,-91.0271987915,America/Winnipeg,
CNM5,KIF,Kingfisher Lake Airport,Kingfisher Lake,Ontario,CA,866.0,53.0125007629,-89.8553009033,America/Toronto,
CNT3,YOG,Ogoki Post Airport,Ogoki Post,Ontario,CA,594.0,51.6585998535,-85.9017028809,America/Toronto,
CPF2,YEB,Bar River Airport,Bar River,Ontario,CA,591.0,46.42029953,-84.0922012329,America/Toronto,
CPV7,YHP,Poplar Hill Airport,Poplar Hill,Ontario,CA,1095.0,52.1133003235,-94.2555999756,America/Winnipeg,
CSK6,YNX,Snap Lake Airport,Snap Lake,Northwest Territories,CA,1557.0,63.5936012268,-110.90599823,America/Yellowknife,
CSU2,YKU,Chisasibi Airport,Chisasibi,Quebec,CA,43.0,53.8055992126,-78.9169006348,America/Toronto,
CTB6,ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine,Quebec,CA,107.0,50.6744003296,-59.3835983276,America/Blanc-Sablon,
CTP9,YAU,Donaldson Airport,Kattiniq,Quebec,CA,1902.0,61.6622009277,-73.3214035034,America/Toronto,
CTU5,ZLT,La Tabatiere Airport,La Tabatiere,Quebec,CA,102.0,50.8307991028,-58.9756011963,America/Blanc-Sablon,
CYAC,YAC,Cat Lake Airport,Cat Lake,Ontario,CA,1344.0,51.7271995544,-91.8244018555,America/Winnipeg,
CYAD,YAR,La Grande-3 Airport,La Grande-3,Quebec,CA,775.0,53.5717010498,-76.1964035034,America/Toronto,
CYAG,YAG,Fort Frances Municipal Airport,Fort Frances,Ontario,CA,1125.0,48.6542015076,-93.4396972656,America/Winnipeg,
CYAH,YAH,La Grande-4 Airport,La Grande-4,Quebec,CA,1005.0,53.754699707,-73.6753005981,America/Toronto,
CYAL,YAL,Alert Bay Airport,Alert Bay,British Columbia,CA,240.0,50.5821990967,-126.9160003662,America/Vancouver,
CYAM,YAM,Sault Ste Marie Airport,Sault Ste Marie,Ontario,CA,630.0,46.4850006104,-84.5093994141,America/Toronto,
CYAQ,XKS,Kasabonika Airport,Kasabonika,Ontario,CA,672.0,53.5247001648,-88.6427993774,America/Toronto,
